crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_name,cross_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,collision_id,vehicle_type_code_1,vehicle_type_code_2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5
11/02/2015,18:10:00,QUEENS,11369,40.762332,-73.8713565,"(40.762332, -73.8713565)",98 STREET,ASTORIA BOULEVARD,NA,1,0,0,0,0,0,1,0,Unspecified,NA,NA,NA,NA,3331390,PASSENGER VEHICLE,NA,NA,NA,NA
10/27/2015,12:30:00,BROOKLYN,11216,40.6865789,-73.9474574,"(40.6865789, -73.9474574)",MARCY AVENUE,GATES AVENUE,NA,1,0,1,0,0,0,0,0,Oversized Vehicle,NA,NA,NA,NA,3323334,PASSENGER VEHICLE,NA,NA,NA,NA
02/17/2017,14:20:00,NA,NA,40.763966,-73.92267,"(40.763966, -73.92267)",31 AVENUE,NA,NA,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,NA,NA,NA,3617754,Sedan,Sedan,NA,NA,NA
06/21/2018,18:30:00,NA,NA,40.727287,-74.00064,"(40.727287, -74.00064)",THOMPSON STREET,NA,NA,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,NA,NA,NA,3927000,Station Wagon/Sport Utility Vehicle,Sedan,NA,NA,NA
06/17/2017,17:15:00,QUEENS,11368,40.754536,-73.86042,"(40.754536, -73.86042)",NA,NA,36-12     108 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,NA,NA,NA,3694171,Station Wagon/Sport Utility Vehicle,Sedan,NA,NA,NA
07/09/2016,20:05:00,BRONX,10463,40.885582,-73.90963,"(40.885582, -73.90963)",NA,NA,552       WEST 235 STREET,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,NA,NA,NA,3480363,Bike,4 dr sedan,NA,NA,NA
09/19/2015,17:40:00,MANHATTAN,10014,40.7361777,-74.003529,"(40.7361777, -74.003529)",WEST 11 STREET,WEST 4 STREET,NA,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,NA,NA,NA,3299920,LARGE COM VEH(6 OR MORE TIRES),PASSENGER VEHICLE,NA,NA,NA
10/07/2015,01:27:00,MANHATTAN,10012,40.7209387,-73.993795,"(40.7209387, -73.993795)",BOWERY,SPRING STREET,NA,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,NA,NA,NA,3316718,TAXI,PASSENGER VEHICLE,NA,NA,NA
02/27/2016,01:45:00,NA,NA,NA,NA,NA,PARK AVENUE,CUMBERLAND STREET,NA,2,0,0,0,0,0,2,0,Failure to Keep Right,Unspecified,NA,NA,NA,3396193,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,NA,NA,NA
10/16/2015,20:11:00,MANHATTAN,10019,40.7607944,-73.9845106,"(40.7607944, -73.9845106)",WEST 49 STREET,BROADWAY,NA,0,0,0,0,0,0,0,0,Unspecified,Unspecified,NA,NA,NA,3316774,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,NA,NA,NA
07/26/2018,17:40:00,QUEENS,11355,40.75539,-73.828285,"(40.75539, -73.828285)",MAIN STREET,MAPLE AVENUE,NA,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,NA,NA,NA,3948828,Sedan,Sedan,NA,NA,NA
01/28/2013,17:18:00,STATEN ISLAND,10304,40.6076902,-74.0894424,"(40.6076902, -74.0894424)",TARGEE STREET,CLOVE ROAD,NA,0,0,0,0,0,0,0,0,Unspecified,Unspecified,NA,NA,NA,296367,PASSENGER VEHICLE,PASSENGER VEHICLE,NA,NA,NA
06/17/2018,15:00:00,NA,NA,40.633636,-73.951065,"(40.633636, -73.951065)",AMERSFORT PLACE,EAST 27 STREET,NA,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,NA,NA,NA,3923294,Station Wagon/Sport Utility Vehicle,Sedan,NA,NA,NA
10/06/2016,12:05:00,BROOKLYN,11217,0,0,"(0.0, 0.0)",STATE STREET,BOND STREET,NA,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,NA,NA,NA,3536125,Station Wagon/Sport Utility Vehicle,Sedan,NA,NA,NA
09/23/2013,20:35:00,NA,NA,NA,NA,NA,HOOPER STREET,BROADWAY,NA,1,0,0,0,1,0,0,0,Unspecified,Unspecified,NA,NA,NA,196886,MOTORCYCLE,BICYCLE,NA,NA,NA
03/24/2021,17:08:00,NA,NA,40.765297,-73.83967,"(40.765297, -73.83967)",VAN WYCK EXPWY,NA,NA,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,NA,NA,4401582,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,NA,NA
07/14/2015,20:00:00,QUEENS,11361,40.7674502,-73.7801083,"(40.7674502, -73.7801083)",208 STREET,35 AVENUE,NA,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,NA,NA,NA,3258991,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,NA,NA,NA
